isic_id,CI_name
ISIC_5642041,CI_13380361
ISIC_5643047,CI_09455485
ISIC_5652749,CI_10440621
ISIC_5659872,CI_08004427
ISIC_5663517,CI_12333138
ISIC_5678867,CI_09395598
ISIC_5685440,CI_09301949
ISIC_5689175,CI_10434652
ISIC_5716967,CI_11272827
ISIC_5727282,CI_12590175
ISIC_5729818,CI_16230354
ISIC_5733808,CI_10311661
ISIC_5734408,CI_11021188
ISIC_5736971,CI_11122519
ISIC_5740807,CI_13585130
ISIC_5743254,CI_14413771
ISIC_5753291,CI_08084708
ISIC_5755245,CI_16262636
ISIC_5762714,CI_13381442
ISIC_5771732,CI_14022796
ISIC_5777510,CI_11202747
ISIC_5784659,CI_16453636
ISIC_5789867,CI_09081397
ISIC_5798015,CI_08100055
ISIC_5810696,CI_12124576
ISIC_5814432,CI_10440921
ISIC_5820693,CI_08275509
ISIC_5838895,CI_10075388
ISIC_5843614,CI_16171692
ISIC_5847182,CI_16032470
ISIC_5847334,CI_16193687
ISIC_5849266,CI_09145176
ISIC_5849354,CI_10340563
ISIC_5857357,CI_13432946
ISIC_5858111,CI_10524487
ISIC_5863689,CI_11073511
ISIC_5864088,CI_09380040
ISIC_5882472,CI_13135092
ISIC_5889844,CI_12050931
ISIC_5895384,CI_10023672
ISIC_5907979,CI_13444184
ISIC_5909161,CI_13594342
ISIC_5909577,CI_15082149
ISIC_5916208,CI_14535100
ISIC_5918908,CI_11500063
ISIC_5926550,CI_11162370
ISIC_5930265,CI_12130440
ISIC_5934354,CI_10454550
ISIC_5955057,CI_11424569
ISIC_5957970,CI_10121344
ISIC_5959935,CI_11385522
ISIC_5970162,CI_11181730
ISIC_5971635,CI_10533470
ISIC_5989969,CI_09263757
ISIC_5991850,CI_14430576
ISIC_6012141,CI_10303331
ISIC_6012370,CI_11263131
ISIC_6013008,CI_11330638
ISIC_6014600,CI_09272497
ISIC_6015221,CI_12152247
ISIC_6016668,CI_15222119
ISIC_6033409,CI_11253831
ISIC_6041443,CI_14572173
ISIC_6046720,CI_15323490
ISIC_6049882,CI_10045945
ISIC_6060942,CI_14132435
ISIC_6065363,CI_09524089
ISIC_6066292,CI_13583398
ISIC_6073897,CI_10264439
ISIC_6080966,CI_15293727
ISIC_6086066,CI_13204257
ISIC_6091412,CI_09383975
ISIC_6095734,CI_10381203
ISIC_6098021,CI_15543895
ISIC_6106060,CI_10195945
ISIC_6113814,CI_14491126
ISIC_6115208,CI_11265210
ISIC_6128367,CI_10342060
ISIC_6128404,CI_09223388
ISIC_6134155,CI_12023229
ISIC_6163789,CI_10081844
ISIC_6172309,CI_09420201
ISIC_6174918,CI_10403959
ISIC_6179369,CI_10071893
ISIC_6180140,CI_12504298
ISIC_6184891,CI_11212012
ISIC_6186510,CI_13402682
ISIC_6207818,CI_09032720
ISIC_6212874,CI_13260475
ISIC_6217950,CI_16365651
ISIC_6240570,CI_16154134
ISIC_6243656,CI_12275773
ISIC_6256967,CI_16303776
ISIC_6278558,CI_11050018
ISIC_6283716,CI_09541812
ISIC_6284312,CI_10495169
ISIC_6288741,CI_15500187
ISIC_6289926,CI_15374514
ISIC_6299036,CI_16185133
ISIC_6303895,CI_16302047
ISIC_6327722,CI_10282873
ISIC_6342190,CI_11550707
ISIC_6343626,CI_11312393
ISIC_6347003,CI_11485446
ISIC_6353793,CI_15473629
ISIC_6364763,CI_14443580
ISIC_6366417,CI_15292214
ISIC_6368918,CI_11250970
ISIC_6379594,CI_11263206
ISIC_6382790,CI_10112079
ISIC_6384448,CI_13470201
ISIC_6392253,CI_09185892
ISIC_6393048,CI_10543295
ISIC_6393624,CI_09075673
ISIC_6394319,CI_17023899
ISIC_6396310,CI_11173241
ISIC_6405019,CI_15480063
ISIC_6407606,CI_14550406
ISIC_6409522,CI_11163229
ISIC_6425262,CI_13524696
ISIC_6426316,CI_12401017
ISIC_6432255,CI_12584681
ISIC_6433929,CI_11120872
ISIC_6444362,CI_14403453
ISIC_6457212,CI_14584827
ISIC_6460536,CI_10364937
ISIC_6466831,CI_09332950
ISIC_6472700,CI_16571894
ISIC_6473915,CI_11412744
ISIC_6494694,CI_11525105
ISIC_6494787,CI_13435851
ISIC_6498094,CI_12022492
ISIC_6516395,CI_14110365
ISIC_6523645,CI_11301065
ISIC_6532815,CI_10163215
ISIC_6534578,CI_14383202
ISIC_6536532,CI_08100858
ISIC_6548523,CI_13295620
ISIC_6551901,CI_13441082
ISIC_6584476,CI_09245925
ISIC_6589548,CI_16270747
ISIC_6591815,CI_10271420
ISIC_6596655,CI_16423512
ISIC_6603948,CI_15533508
ISIC_6604109,CI_13330114
ISIC_6604352,CI_15552392
ISIC_6644377,CI_15113981
ISIC_6646939,CI_10475244
ISIC_6647306,CI_14451700
ISIC_6650334,CI_17010605
ISIC_6667219,CI_13453825
ISIC_6667632,CI_11171958
ISIC_6677145,CI_09254483
ISIC_6686330,CI_14565520
ISIC_6688890,CI_09093924
ISIC_6701634,CI_15095526
ISIC_6708112,CI_11371097
ISIC_6710054,CI_15393303
ISIC_6711611,CI_10001415
ISIC_6713972,CI_14225945
ISIC_6733658,CI_13473809
ISIC_6736120,CI_09092231
ISIC_6741865,CI_13131391
ISIC_6744732,CI_14201114
ISIC_6761840,CI_14181296
ISIC_6765543,CI_16330565
ISIC_6770353,CI_11100885
ISIC_6770608,CI_13430352
ISIC_6775828,CI_16591148
ISIC_6780662,CI_14414933
ISIC_6790329,CI_13192492
ISIC_6793293,CI_08100390
ISIC_6793626,CI_15314184
ISIC_6794479,CI_13501476
ISIC_6796858,CI_17053495
ISIC_6821074,CI_13344309
ISIC_6827665,CI_11251159
ISIC_6833519,CI_10524799
ISIC_6844482,CI_09245702
ISIC_6852638,CI_16014257
